System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
15 500.00 1358.00 100.000000 0.9621859852698071 0.397646 -1186447.132074 331.132741 95.223977 161.497606 -113496.622348 41364.031332 -5.192 -5.192 2.541069 0.065926 0.876 n/a n/a
16 500.00 1355.00 100.000000 0.9713149341233609 0.468024 -1188219.404138 323.360802 81.629998 160.272457 -85991.398879 32288.979059 -5.464 -5.464 2.542393 0.066056 0.885 n/a n/a
16 500.00 1355.00 100.000000 0.9621935194186829 0.398106 -1186931.805208 330.835331 95.089583 161.493603 -113263.304531 41375.459434 -5.221 -5.221 2.541735 0.066056 0.885 n/a n/a
16 500.00 1355.00 100.000000 0.9806123992414547 0.567844 -1189551.319693 315.730468 67.915648 159.064979 -58193.221907 23028.851429 -5.591 -5.591 2.542720 0.066056 0.885 n/a n/a
17 500.00 1352.00 100.000000 0.9713226669893361 0.468521 -1188700.409750 323.065099 81.522587 160.269026 -85808.407026 32295.868285 -5.493 -5.493 2.543058 0.066187 0.894 n/a n/a
17 500.00 1352.00 100.000000 0.9622010934669479 0.398569 -1187416.467471 330.537380 94.955122 161.489614 -113029.941960 41386.999326 -5.250 -5.250 2.542401 0.066187 0.894 n/a n/a
18 500.00 1349.00 100.000000 0.9713304408976469 0.469021 -1189181.406244 322.768855 81.415122 160.265604 -85625.371740 32302.831386 -5.522 -5.522 2.543724 0.066319 0.903 n/a n/a
17 500.00 1352.00 100.000000 0.9806202507378586 0.568368 -1190028.707728 315.436989 67.835863 159.062115 -58061.703297 23031.040874 -5.620 -5.620 2.543385 0.066187 0.894 n/a n/a
18 500.00 1349.00 100.000000 0.9622087076994661 0.399033 -1187901.118914 330.238885 94.820593 161.485639 -112796.534363 41398.652266 -5.279 -5.279 2.543068 0.066319 0.903 n/a n/a
19 500.00 1346.00 100.000000 0.9713382561418595 0.469522 -1189662.393660 322.472068 81.307601 160.262194 -85442.292767 32309.869217 -5.552 -5.552 2.544389 0.066451 0.911 n/a n/a
18 500.00 1349.00 100.000000 0.9806281439140819 0.568893 -1190506.088367 315.142972 67.756037 159.059258 -57930.143102 23033.264530 -5.649 -5.649 2.544050 0.066319 0.902 n/a n/a
19 500.00 1346.00 100.000000 0.9622163624034061 0.399499 -1188385.759591 329.939844 94.685996 161.481680 -112563.081467 41410.419532 -5.309 -5.309 2.543735 0.066451 0.912 n/a n/a
19 500.00 1346.00 100.000000 0.9806360790691174 0.569420 -1190983.461637 314.848415 67.676169 159.056408 -57798.541087 23035.522825 -5.679 -5.679 2.544715 0.066451 0.911 n/a n/a
20 500.00 1343.00 100.000000 0.9713461130187219 0.470025 -1190143.372039 322.174737 81.200025 160.258794 -85259.169851 32316.982647 -5.581 -5.581 2.545055 0.066584 0.920 n/a n/a
21 500.00 1340.00 100.000000 0.9713540118266011 0.470529 -1190624.341424 321.876858 81.092392 160.255406 -85076.002735 32324.172554 -5.611 -5.611 2.545722 0.066718 0.929 n/a n/a
20 500.00 1343.00 100.000000 0.9622240578682739 0.399966 -1188870.389555 329.640255 94.551329 161.477736 -112329.582998 41422.302417 -5.338 -5.338 2.544402 0.066584 0.920 n/a n/a
20 500.00 1343.00 100.000000 0.9806440565040349 0.569949 -1191460.827569 314.553316 67.596260 159.053564 -57666.897016 23037.816197 -5.708 -5.708 2.545381 0.066584 0.920 n/a n/a
22 500.00 1337.00 100.000000 0.9713619528670987 0.471035 -1191105.301857 321.578431 80.984704 160.252030 -84892.791159 32331.439831 -5.641 -5.641 2.546388 0.066852 0.938 n/a n/a
21 500.00 1340.00 100.000000 0.9622317943862543 0.400435 -1189355.008861 329.340116 94.416593 161.473808 -112096.038679 41434.302232 -5.368 -5.368 2.545069 0.066718 0.929 n/a n/a
21 500.00 1340.00 100.000000 0.9806520765226321 0.570479 -1191938.186192 314.257674 67.516309 159.050727 -57535.210654 23040.145087 -5.738 -5.738 2.546047 0.066718 0.929 n/a n/a
23 500.00 1334.00 100.000000 0.9713699364437914 0.471543 -1191586.253383 321.279452 80.876959 160.248665 -84709.534864 32338.785381 -5.671 -5.671 2.547055 0.066987 0.947 n/a n/a
22 500.00 1337.00 100.000000 0.9806601394311439 0.571011 -1192415.537535 313.961486 67.436315 159.047897 -57403.481763 23042.509944 -5.768 -5.768 2.546713 0.066852 0.938 n/a n/a
22 500.00 1337.00 100.000000 0.9622395722515148 0.400905 -1189839.617564 329.039425 94.281787 161.469895 -111862.448234 41446.420306 -5.398 -5.398 2.545736 0.066852 0.938 n/a n/a
23 500.00 1334.00 100.000000 0.9806682455383620 0.571545 -1192892.881630 313.664750 67.356279 159.045075 -57271.710103 23044.911223 -5.798 -5.798 2.547379 0.066987 0.947 n/a n/a
24 500.00 1331.00 100.000000 0.9713779628629722 0.472053 -1192067.196046 320.979921 80.769156 160.245312 -84526.233589 32346.210121 -5.701 -5.701 2.547722 0.067122 0.956 n/a n/a
23 500.00 1334.00 100.000000 0.9622473917607610 0.401378 -1190324.215721 328.738179 94.146910 161.465998 -111628.811384 41458.657988 -5.428 -5.428 2.546404 0.066987 0.947 n/a n/a
25 500.00 1328.00 100.000000 0.9713860324334229 0.472564 -1192548.129891 320.679834 80.661297 160.241972 -84342.887071 32353.714981 -5.731 -5.731 2.548389 0.067258 0.965 n/a n/a
24 500.00 1331.00 100.000000 0.9806763951557157 0.572081 -1193370.218506 313.367464 67.276201 159.042260 -57139.895436 23047.349386 -5.828 -5.828 2.548045 0.067122 0.956 n/a n/a
24 500.00 1331.00 100.000000 0.9622552532134163 0.401852 -1190808.803390 328.436378 94.011962 161.462119 -111395.127848 41471.016643 -5.458 -5.458 2.547072 0.067122 0.956 n/a n/a
25 500.00 1328.00 100.000000 0.9806845885969320 0.572618 -1193847.548196 313.069627 67.196079 159.039452 -57008.037520 23049.824901 -5.858 -5.858 2.548712 0.067258 0.965 n/a n/a
26 500.00 1325.00 100.000000 0.9713941454666458 0.473078 -1193029.054964 320.379190 80.553379 160.238643 -84159.495045 32361.300903 -5.762 -5.762 2.549056 0.067394 0.974 n/a n/a
25 500.00 1328.00 100.000000 0.9622631569110515 0.402328 -1191293.380628 328.134018 93.876943 161.458256 -111161.397343 41483.497656 -5.488 -5.488 2.547740 0.067258 0.965 n/a n/a
26 500.00 1325.00 100.000000 0.9806928261787671 0.573156 -1194324.870731 312.771235 67.115914 159.036652 -56876.136113 23052.338243 -5.889 -5.889 2.549379 0.067394 0.974 n/a n/a
27 500.00 1322.00 100.000000 0.9714023022763776 0.473592 -1193509.971311 320.077987 80.445403 160.235328 -83976.057247 32368.968843 -5.792 -5.792 2.549724 0.067532 0.983 n/a n/a
26 500.00 1325.00 100.000000 0.9622711031579260 0.402805 -1191777.947497 327.831097 93.741851 161.454410 -110927.619587 41496.102430 -5.519 -5.519 2.548409 0.067394 0.974 n/a n/a
27 500.00 1322.00 100.000000 0.9807011082203106 0.573697 -1194802.186144 312.472286 67.035706 159.033860 -56744.190972 23054.889894 -5.919 -5.919 2.550046 0.067532 0.983 n/a n/a
28 500.00 1319.00 100.000000 0.9714105031792409 0.474109 -1193990.878982 319.776222 80.337368 160.232026 -83792.573410 32376.719770 -5.823 -5.823 2.550392 0.067670 0.992 n/a n/a
27 500.00 1322.00 100.000000 0.9622790922607397 0.403284 -1192262.504057 327.527614 93.606687 161.450581 -110693.794293 41508.832390 -5.549 -5.549 2.549077 0.067532 0.984 n/a n/a
28 500.00 1319.00 100.000000 0.9807094350433663 0.574239 -1195279.494468 312.172780 66.955454 159.031076 -56612.201854 23057.480344 -5.950 -5.950 2.550713 0.067670 0.992 n/a n/a
29 500.00 1316.00 100.000000 0.9714187484943189 0.474628 -1194471.778023 319.473893 80.229275 160.228736 -83609.043267 32384.554667 -5.854 -5.854 2.551060 0.067808 1.002 n/a n/a
28 500.00 1319.00 100.000000 0.9622871245283968 0.403765 -1192747.050369 327.223566 93.471449 161.446771 -110459.921177 41521.688979 -5.580 -5.580 2.549746 0.067670 0.993 n/a n/a
29 500.00 1316.00 100.000000 0.9807178069724038 0.574783 -1195756.795737 311.872713 66.875157 159.028300 -56480.168514 23060.110088 -5.981 -5.981 2.551380 0.067808 1.001 n/a n/a
30 500.00 1313.00 100.000000 0.9714270385433761 0.475148 -1194952.668485 319.170998 80.121121 160.225460 -83425.466547 32392.474531 -5.885 -5.885 2.551728 0.067947 1.011 n/a n/a
29 500.00 1316.00 100.000000 0.9622952002730110 0.404248 -1193231.586497 326.918950 93.336138 161.442978 -110225.999949 41534.673660 -5.611 -5.611 2.550415 0.067808 1.002 n/a n/a
30 500.00 1313.00 100.000000 0.9807262243345700 0.575329 -1196234.089985 311.572084 66.794816 159.025533 -56348.090705 23062.779630 -6.012 -6.012 2.552048 0.067947 1.011 n/a n/a
31 500.00 1310.00 100.000000 0.9714353736508206 0.475670 -1195433.550418 318.867536 80.012908 160.222198 -83241.842982 32400.480373 -5.916 -5.916 2.552396 0.068087 1.020 n/a n/a
30 500.00 1313.00 100.000000 0.9623033198086072 0.404732 -1193716.112504 326.613766 93.200753 161.439204 -109992.030319 41547.787917 -5.642 -5.642 2.551084 0.067947 1.011 n/a n/a
31 500.00 1310.00 100.000000 0.9807346874597180 0.575876 -1196711.377246 311.270889 66.714431 159.022773 -56215.968180 23065.489481 -6.043 -6.043 2.552716 0.068087 1.020 n/a n/a
31 500.00 1310.00 100.000000 0.9623114834522890 0.405218 -1194200.628457 326.308010 93.065293 161.435449 -109758.011997 41561.033255 -5.673 -5.673 2.551754 0.068087 1.020 n/a n/a
32 500.00 1307.00 100.000000 0.9714437541436154 0.476194 -1195914.423871 318.563503 79.904634 160.218950 -83058.172299 32408.573218 -5.947 -5.947 2.553065 0.068227 1.029 n/a n/a
32 500.00 1307.00 100.000000 0.9807431966805167 0.576426 -1197188.657557 310.969128 66.634000 159.020023 -56083.800692 23068.240160 -6.074 -6.074 2.553384 0.068227 1.029 n/a n/a
33 500.00 1304.00 100.000000 0.9714521803520271 0.476720 -1196395.288899 318.258897 79.796300 160.215717 -82874.454225 32416.754106 -5.979 -5.979 2.553734 0.068368 1.039 n/a n/a
32 500.00 1307.00 100.000000 0.9623196915233129 0.405706 -1194685.134420 326.001680 92.929757 161.431714 -109523.944689 41574.411200 -5.704 -5.704 2.552423 0.068227 1.030 n/a n/a
33 500.00 1304.00 100.000000 0.9807517523320048 0.576977 -1197665.930952 310.666798 66.553525 159.017281 -55951.587991 23071.032193 -6.106 -6.106 2.554052 0.068368 1.038 n/a n/a
34 500.00 1301.00 100.000000 0.9714606526079674 0.477247 -1196876.145553 317.953717 79.687904 160.212498 -82690.688486 32425.024093 -6.010 -6.010 2.554403 0.068510 1.048 n/a n/a
33 500.00 1304.00 100.000000 0.9623279443438177 0.406196 -1195169.630462 325.694775 92.794145 161.427998 -109289.828102 41587.923298 -5.736 -5.736 2.553093 0.068368 1.039 n/a n/a
34 500.00 1301.00 100.000000 0.9807603547525392 0.577529 -1198143.197468 310.363897 66.473003 159.014549 -55819.329828 23073.866113 -6.137 -6.137 2.554721 0.068510 1.048 n/a n/a
35 500.00 1298.00 100.000000 0.9714691712469005 0.477777 -1197356.993886 317.647961 79.579447 160.209293 -82506.874808 32433.384247 -6.042 -6.042 2.555072 0.068653 1.057 n/a n/a
34 500.00 1301.00 100.000000 0.9623362422385123 0.406688 -1195654.116651 325.387291 92.658457 161.424302 -109055.661939 41601.571120 -5.767 -5.767 2.553763 0.068510 1.048 n/a n/a
36 500.00 1295.00 100.000000 0.9714777366068162 0.478308 -1197837.833954 317.341625 79.470928 160.206104 -82323.012912 32441.835655 -6.074 -6.074 2.555741 0.068796 1.067 n/a n/a
35 500.00 1298.00 100.000000 0.9807690042828809 0.578084 -1198620.457143 310.060422 66.392436 159.011825 -55687.025953 23076.742463 -6.169 -6.169 2.555390 0.068653 1.057 n/a n/a
35 500.00 1298.00 100.000000 0.9623445855347528 0.407181 -1196138.593057 325.079228 92.522692 161.420626 -108821.445904 41615.356257 -5.799 -5.799 2.554433 0.068653 1.058 n/a n/a
37 500.00 1292.00 100.000000 0.9714863490282146 0.478841 -1198318.665812 317.034707 79.362346 160.202930 -82139.102523 32450.379418 -6.106 -6.106 2.556411 0.068940 1.076 n/a n/a
36 500.00 1295.00 100.000000 0.9807777012667681 0.578640 -1199097.710014 309.756371 66.311823 159.009111 -55554.676111 23079.661792 -6.201 -6.201 2.556059 0.068796 1.067 n/a n/a
36 500.00 1295.00 100.000000 0.9623529745625643 0.407676 -1196623.059752 324.770581 92.386850 161.416971 -108587.179698 41629.280324 -5.831 -5.831 2.555104 0.068796 1.067 n/a n/a
38 500.00 1289.00 100.000000 0.9714950088548979 0.479376 -1198799.489517 316.727206 79.253701 160.199772 -81955.143360 32459.016652 -6.138 -6.138 2.557081 0.069084 1.086 n/a n/a
37 500.00 1292.00 100.000000 0.9807864460506184 0.579199 -1199574.956120 309.451743 66.231163 159.006407 -55422.280053 23082.624660 -6.233 -6.233 2.556728 0.068940 1.076 n/a n/a
37 500.00 1292.00 100.000000 0.9623614096545758 0.408174 -1197107.516807 324.461350 92.250929 161.413338 -108352.863020 41643.344957 -5.863 -5.863 2.555775 0.068940 1.076 n/a n/a
39 500.00 1286.00 100.000000 0.9715037164330841 0.479913 -1199280.305126 316.419120 79.144993 160.196630 -81771.135143 32467.748492 -6.170 -6.170 2.557751 0.069229 1.095 n/a n/a
38 500.00 1289.00 100.000000 0.9807952389837981 0.579759 -1200052.195499 309.146534 66.150456 159.003712 -55289.837523 23085.631632 -6.265 -6.265 2.557397 0.069084 1.085 n/a n/a
38 500.00 1289.00 100.000000 0.9623698911464749 0.408673 -1197591.964296 324.151532 92.114929 161.409725 -108118.495569 41657.551817 -5.895 -5.895 2.556446 0.069084 1.086 n/a n/a
40 500.00 1283.00 100.000000 0.9715124721119416 0.480452 -1199761.112697 316.110444 79.036221 160.193504 -81587.077592 32476.576087 -6.203 -6.203 2.558421 0.069375 1.105 n/a n/a
39 500.00 1286.00 100.000000 0.9808040804184616 0.580321 -1200529.428191 308.840743 66.069703 159.001027 -55157.348269 23088.683284 -6.298 -6.298 2.558067 0.069229 1.095 n/a n/a
39 500.00 1286.00 100.000000 0.9623784193761847 0.409173 -1198076.402294 323.841124 91.978850 161.406135 -107884.077043 41671.902588 -5.927 -5.927 2.557117 0.069229 1.095 n/a n/a
41 500.00 1280.00 100.000000 0.9715212762434041 0.480993 -1200241.912291 315.801179 78.927385 160.190395 -81402.970425 32485.500605 -6.236 -6.236 2.559092 0.069522 1.114 n/a n/a
40 500.00 1283.00 100.000000 0.9808129707098662 0.580884 -1201006.654237 308.534367 65.988902 158.998353 -55024.812033 23091.780200 -6.330 -6.330 2.558737 0.069375 1.105 n/a n/a
40 500.00 1283.00 100.000000 0.9623869946845894 0.409676 -1198560.830878 323.530124 91.842691 161.402568 -107649.607136 41686.398981 -5.960 -5.960 2.557788 0.069375 1.105 n/a n/a
42 500.00 1277.00 100.000000 0.9715301291825982 0.481536 -1200722.703966 315.491320 78.818483 160.187303 -81218.813356 32494.523227 -6.268 -6.268 2.559763 0.069669 1.124 n/a n/a
41 500.00 1280.00 100.000000 0.9808219102158098 0.581450 -1201483.873677 308.227405 65.908053 158.995688 -54892.228560 23094.922972 -6.363 -6.363 2.559406 0.069522 1.114 n/a n/a
41 500.00 1280.00 100.000000 0.9623956174155461 0.410181 -1199045.250124 323.218530 91.706451 161.399023 -107415.085543 41701.042727 -5.993 -5.993 2.558460 0.069522 1.115 n/a n/a
43 500.00 1274.00 100.000000 0.9715390312870453 0.482080 -1201203.487785 315.180867 78.709517 160.184228 -81034.606102 32503.645157 -6.301 -6.301 2.560434 0.069817 1.134 n/a n/a
42 500.00 1277.00 100.000000 0.9808308992973754 0.582018 -1201961.086552 307.919853 65.827157 158.993034 -54759.597593 23098.112203 -6.395 -6.395 2.560077 0.069669 1.124 n/a n/a
42 500.00 1277.00 100.000000 0.9624042879151641 0.410687 -1199529.660111 322.906340 91.570130 161.395501 -107180.511956 41715.835586 -6.025 -6.025 2.559131 0.069669 1.124 n/a n/a
44 500.00 1271.00 100.000000 0.9715479829175016 0.482627 -1201684.263811 314.869816 78.600485 160.181171 -80850.348378 32512.867613 -6.334 -6.334 2.561105 0.069966 1.143 n/a n/a
43 500.00 1274.00 100.000000 0.9808399383183390 0.582587 -1202438.292906 307.611709 65.746212 158.990391 -54626.918876 23101.348503 -6.428 -6.428 2.560747 0.069817 1.133 n/a n/a
43 500.00 1274.00 100.000000 0.9624130065330092 0.411196 -1200014.060920 322.593550 91.433728 161.392003 -106945.886067 41730.779342 -6.058 -6.058 2.559803 0.069817 1.134 n/a n/a
45 500.00 1268.00 100.000000 0.9715569844376100 0.483176 -1202165.032106 314.558165 78.491387 160.178132 -80666.039895 32522.191831 -6.368 -6.368 2.561776 0.070115 1.153 n/a n/a
44 500.00 1271.00 100.000000 0.9808490276455906 0.583158 -1202915.492781 307.302972 65.665219 158.987759 -54494.192148 23104.632492 -6.461 -6.461 2.561418 0.069966 1.143 n/a n/a
44 500.00 1271.00 100.000000 0.9624217736209947 0.411706 -1200498.452631 322.280160 91.297242 161.388529 -106711.207566 41745.875806 -6.091 -6.091 2.560476 0.069966 1.144 n/a n/a
46 500.00 1265.00 100.000000 0.9715660362139059 0.483726 -1202645.792735 314.245911 78.382222 160.175111 -80481.680367 32531.619068 -6.401 -6.401 2.562447 0.070265 1.163 n/a n/a
45 500.00 1268.00 100.000000 0.9808581676488669 0.583731 -1203392.686220 306.993638 65.584177 158.985138 -54361.417151 23107.964801 -6.495 -6.495 2.562088 0.070115 1.153 n/a n/a
45 500.00 1268.00 100.000000 0.9624305895340749 0.412218 -1200982.835329 321.966166 91.160674 161.385080 -106476.476141 41761.126812 -6.125 -6.125 2.561148 0.070115 1.153 n/a n/a
47 500.00 1262.00 100.000000 0.9715751386156949 0.484279 -1203126.545765 313.933053 78.272990 160.172108 -80297.269506 32541.150597 -6.435 -6.435 2.563119 0.070416 1.173 n/a n/a
46 500.00 1265.00 100.000000 0.9808673587011083 0.584306 -1203869.873268 306.683706 65.503085 158.982529 -54228.593624 23111.346068 -6.528 -6.528 2.562759 0.070265 1.163 n/a n/a
46 500.00 1265.00 100.000000 0.9624394546299907 0.412733 -1201467.209097 321.651566 91.024023 161.381656 -106241.691479 41776.534226 -6.158 -6.158 2.561820 0.070265 1.163 n/a n/a
48 500.00 1259.00 100.000000 0.9715842920158123 0.484834 -1203607.291261 313.619588 78.163690 160.169125 -80112.807019 32550.787712 -6.468 -6.468 2.563791 0.070568 1.182 n/a n/a
47 500.00 1262.00 100.000000 0.9808766011781299 0.584884 -1204347.053971 306.373172 65.421944 158.979931 -54095.721308 23114.776944 -6.562 -6.562 2.563430 0.070416 1.172 n/a n/a
47 500.00 1262.00 100.000000 0.9624483692693804 0.413249 -1201951.574021 321.336358 90.887287 161.378257 -106006.853267 41792.099939 -6.192 -6.192 2.562493 0.070416 1.173 n/a n/a
49 500.00 1256.00 100.000000 0.9684990658196079 0.483728 -1204228.243687 313.213902 78.098574 160.002083 -80040.823179 32592.820117 -6.496 -6.496 2.563627 0.078127 1.199 n/a n/a
